//,"Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
//,You can safely insert commas or double quotes into data fields.,,,,,,,,,,,,,
//,"EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
//,"When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
//,,,,,,,,,,,,,,
//!,gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.,,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
//!,"Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
//!,"# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
//!,"SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Nodes,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,. . . ]]
N,Hishi Akebono (USA),#1548E5,,1992.2,2008.11,,,,,,,,,
N,Distorted Humor (USA),#A5D8EF,,1993.3,2002.5,,,,,,,,,
N,Flower Alley (USA),#A5D8EF,Distorted Humor (USA),2002.5,2008.4,,,,,,,,,
N,Lilacs and Lace (USA),#E991CF,Flower Alley (USA),2008.4,2015.4,,,,,,,,,
N,Tabatha Tosho (JPN),#E991CF,,1993.3,2001.5,,,,,,,,,
N,Shinko Windy (JPN),#1548E5,,1993.4,2023.9,,,,,,,,,
N,Taiki Shuttle (USA),#1548E5,,1994.3,2022.8,,,,,,,,,
N,Seeking the Pearl (USA),#E515A8,,1994.4,2005.6,,,,,,,,,
N,Matikanefukukitaru (JPN),#1548E5,,1994.5,2020.6,,,,,,,,,
N,Grass Wonder (USA),#1548E5,,1995.2,2025.8,,,,,,,,,
N,King Halo (JPN),#1548E5,,1995.4,2019.3,,,,,,,,,
N,Kawakami Princess (JPN),#E515A8,King Halo (JPN),2003.6,2023.9,,,,,,,,,
N,Seiun Sky (JPN),#1548E5,,1995.4,2011.8,,,,,,,,,
N,Admire Cozzene(JPN),#A5D8EF,,1996.4,2004.3,,,,,,,,,
N,Aston Machan (JPN),#E515A8,Admire Cozzene(JPN),2004.3,2008.4,,,,,,,,,
N,Tap Dance City (USA),#1548E5,,1997.3,,,,,,,,,,
N,Agnes Digital (USA),#1548E5,,1997.5,2021.12,,,,,,,,,
N,Halwa Sweet (JPN),#E991CF,,2001.3,2013.4,,,,,,,,,
N,Copano Nikita (JPN),#E991CF,,2001.4,2010.3,,,,,,,,,
N,Sweep Tosho (JPN),#E515A8,,2001.5,2020.12,,,,,,,,,
N,Rhein Kraft (JPN),#E515A8,,2002.4,2006.8,,,,,,,,,
N,Chronologist (JPN),#E991CF,,2003.5,2016.3,,,,,,,,,
N,Transcend (JPN),#1548E5,,2006.3,,,,,,,,,,
N,Curren Chan (JPN),#E515A8,,2007.3,,,,,,,,,,
N,Copano Rickey (JPN),#1548E5,,2010.3,,,,,,,,,,
N,Satono Crown (JPN),#1548E5,,2012.3,,,,,,,,,,
N,Blast Onepiece (JPN),#1548E5,,2015.4,,,,,,,,,,
N,Chrono Genesis (JPN),#E515A8,,2016.3,,,,,,,,,,
,,,,,,,,,,,,,,
#,Connectors,,,,,,,,,,,,,
#,Leaving 'To When' empty will result in using 'From When' as this value,,,,,,,,,,,,,
#,From When,From,To When,To,Thickness,Color,,,,,,,,
C,1984.4,Italian City (JPN),,Gold City (JPN),3,#E991CF,,,,,,,,
C,1993.3,Samantha Tosho(JPN),,Tabatha Tosho (JPN),3,#E991CF,,,,,,,,
C,2001.5,Tabatha Tosho (JPN),,Sweep Tosho (JPN),3,#E991CF,,,,,,,,
C,1995.4,Goodbye Halo (USA),,King Halo (JPN),3,#E991CF,,,,,,,,
C,1997.3,All Dance (USA),,Tap Dance City (USA),3,#E991CF,,,,,,,,
C,1985.4,Slightly Dangerous (USA),,Warning (GB),3,#E991CF,,,,,,,,
C,1997.5,Chancey Squaw (USA),,Agnes Digital (USA),3,#E991CF,,,,,,,,
C,2005.4,Eminent City (JPN),,Espoir City (JPN),3,#E991CF,,,,,,,,
C,2001.4,Nihon Pillow Rose (JPN),,Copano Nikita (JPN),3,#E991CF,,,,,,,,
C,2010.3,Copano Nikita (JPN),,Copano Rickey (JPN),3,#E991CF,,,,,,,,
C,2008.3,Tsurumaru Glamor (JPN),,Tsurumaru Onepiece (JPN),3,#E991CF,,,,,,,,
C,2015.4,Tsurumaru Onepiece (JPN),,Blast Onepiece (JPN),3,#E991CF,,,,,,,,
C,2003.5,In This Unison (JPN),,Chronologist (JPN),3,#E991CF,,,,,,,,
C,2016.3,Chronologist (JPN),,Chrono Genesis (JPN),3,#E991CF,,,,,,,,
C,1993.3,Danzig`s Beauty (USA),,Distorted Humor (USA),3,#E991CF,,,,,,,,
C,2015.4,Lilacs and Lace (USA),,Lucky Lilac (JPN),3,#E991CF,,,,,,,,
C,2015.3,Fusaichi Pandora (JPN),,Almond Eye (JPN),3,#E991CF,,,,,,,,
C,1998.4,Great Christine (USA),,Believe (JPN),3,#E991CF,,,,,,,,
C,1999.5,Sawayaka Princess (JPN),,Durandal (JPN),3,#E991CF,,,,,,,,
C,2010.2,Cesario (JPN),,Epiphaneia (JPN),3,#E991CF,,,,,,,,
C,2009.3,Point Flag (JPN),,Gold Ship (JPN),3,#E991CF,,,,,,,,
C,2001.4,Irish Dance (JPN),,Heart`s Cry (JPN),3,#E991CF,,,,,,,,
C,1996.3,Vega (JPN),,Admire Vega (JPN),3,#E991CF,,,,,,,,
